sample_id,genotype,near_infrared,red,redEdge,blue,EVI,date,NDVI_calculated,NDRE_calculated,yield_g,plant_height_cm
30.0,RGA1,159.33333333333334,30.333333333333332,111.0,25.0,2.119328451668163,11 Apr 2022,0.680140597539543,0.17879161528976573,3965.0,77.5
30.0,RGA1,162.75,30.625,119.625,19.0,1.6144385963594903,16 May 2022,0.6832579185520362,0.15272244355909695,3965.0,77.5
30.0,RGA1,191.4,95.2,153.0,44.6,0.6175549256196398,18 Mar 2022,0.33565945568736916,0.11149825783972128,3965.0,77.5
30.0,RGA1,166.83333333333334,37.166666666666664,129.16666666666666,20.5,1.3669206548967996,27 May 2022,0.6356209150326798,0.1272522522522523,3965.0,77.5
31.0,RGA2,128.0,33.0,90.33333333333333,21.0,1.4106247283301105,11 Apr 2022,0.5900621118012422,0.1725190839694657,3220.0,71.5
31.0,RGA2,201.625,41.875,150.75,30.75,1.7917955815696964,16 May 2022,0.6560574948665298,0.14437743880808798,3220.0,71.5
31.0,RGA2,154.75,99.0,125.5,44.5,0.40434012747463377,18 Mar 2022,0.21970443349753693,0.10437109723461195,3220.0,71.5
31.0,RGA2,249.85714285714286,60.857142857142854,197.42857142857142,32.857142857142854,1.302668293443001,27 May 2022,0.6082758620689656,0.11721494730118177,3220.0,71.5
32.0,BS16,140.33333333333334,35.666666666666664,99.33333333333333,20.666666666666668,1.3323062279804523,11 Apr 2022,0.5946969696969698,0.1710709318497914,4120.0,96.0
32.0,BS16,262.6,81.6,193.2,72.4,2.1400357571204465,16 May 2022,0.5258570598489251,0.1522597630539711,4120.0,96.0
32.0,BS16,196.2,90.6,158.4,44.4,0.7103795917838862,18 Mar 2022,0.3682008368200837,0.10659898477157355,4120.0,96.0
32.0,BS16,98.33333333333333,25.666666666666668,72.66666666666667,19.666666666666668,1.7698707364003436,27 May 2022,0.586021505376344,0.1500974658869395,4120.0,96.0
33.0,BS12,108.0,35.0,81.66666666666667,19.0,1.0988287710488327,11 Apr 2022,0.5104895104895105,0.13884007029876974,3983.0,76.0
33.0,BS12,207.5,46.166666666666664,145.5,36.5,1.915590375223574,16 May 2022,0.6360052562417872,0.17563739376770537,3983.0,76.0
33.0,BS12,171.5,83.33333333333333,133.16666666666666,40.5,0.6562952647804451,18 Mar 2022,0.34597776324395035,0.12582056892778998,3983.0,76.0
33.0,BS12,128.6,33.8,95.6,22.2,1.4408514136765576,27 May 2022,0.583743842364532,0.1471900089206066,3983.0,76.0
34.0,S6,115.66666666666667,34.666666666666664,87.66666666666667,21.0,1.2839612595938175,11 Apr 2022,0.5388026607538803,0.13770491803278687,798.0,110.0
34.0,S6,167.16666666666666,63.5,138.66666666666666,53.666666666666664,3.6142737000159264,16 May 2022,0.44942196531791906,0.09318801089918256,798.0,110.0
34.0,S6,146.57142857142858,100.42857142857143,121.14285714285714,46.857142857142854,0.3788712923389871,18 Mar 2022,0.18681318681318684,0.09498399146211318,798.0,110.0
34.0,S6,120.16666666666667,41.666666666666664,96.5,27.5,1.2180578990295619,27 May 2022,0.4850669412976313,0.10923076923076924,798.0,110.0
35.0,S2,121.33333333333333,42.666666666666664,89.0,23.666666666666668,1.034043913969759,11 Apr 2022,0.4796747967479674,0.1537242472266244,434.0,109.5
35.0,S2,181.5,51.125,140.875,36.125,1.5437912594016021,16 May 2022,0.5604513702310586,0.1260178363706863,434.0,109.5
35.0,S2,152.14285714285714,113.57142857142857,124.85714285714286,48.857142857142854,0.2952629825709989,18 Mar 2022,0.14516129032258063,0.09850438370293962,434.0,109.5
35.0,S2,89.6,22.8,68.0,17.2,1.6386847096009851,27 May 2022,0.594306049822064,0.13705583756345174,434.0,109.5
36.0,BAS17,125.0,32.666666666666664,89.33333333333333,20.666666666666668,1.4343458388878307,11 Apr 2022,0.5856236786469345,0.1664074650077761,938.0,112.0
36.0,BAS17,235.71428571428572,46.285714285714285,175.28571428571428,38.42857142857143,2.0723581531263426,16 May 2022,0.6717325227963526,0.14702815432742444,938.0,112.0
36.0,BAS17,171.4,102.2,140.4,47.0,0.4958748865641923,18 Mar 2022,0.2529239766081871,0.09942270686337396,938.0,112.0
36.0,BAS17,73.66666666666667,20.833333333333332,57.333333333333336,14.166666666666666,1.3959765303171896,27 May 2022,0.5590828924162259,0.1246819338422392,938.0,112.0
37.0,BS12,138.0,39.0,102.33333333333333,22.0,1.2759542680959883,11 Apr 2022,0.559322033898305,0.14840499306518729,4210.0,80.5
37.0,BS12,303.5,59.0,207.625,52.25,2.2718741164738505,16 May 2022,0.6744827586206896,0.1875764245536806,4210.0,80.5
37.0,BS12,185.0,91.75,146.75,43.75,0.6465658347947045,18 Mar 2022,0.3369467028003613,0.11529766390354182,4210.0,80.5
37.0,BS12,185.28571428571428,35.0,132.28571428571428,26.428571428571427,1.9075667324024177,27 May 2022,0.682230869001297,0.16689158794421954,4210.0,80.5
38.0,S7,142.33333333333334,39.666666666666664,101.66666666666667,24.666666666666668,1.380046854924306,11 Apr 2022,0.5641025641025642,0.16666666666666669,1540.0,121.5
38.0,S7,200.71428571428572,49.57142857142857,145.28571428571428,49.42857142857143,-23.50349546172526,16 May 2022,0.6038812785388129,0.16019818331957064,1540.0,121.5
38.0,S7,178.0,116.0,142.0,50.4,0.37518819195606007,18 Mar 2022,0.2108843537414966,0.1125,1540.0,121.5
39.0,S2,129.33333333333334,44.333333333333336,100.33333333333333,24.666666666666668,1.085631504252505,11 Apr 2022,0.48944337811900185,0.12626995645863576,1283.0,116.0
39.0,S2,211.2,44.6,157.0,38.2,2.1481452622460475,16 May 2022,0.6512900703674747,0.1472026072786529,1283.0,116.0
39.0,S2,174.6,113.6,145.6,50.4,0.4008327889148485,18 Mar 2022,0.2116585704371964,0.0905683947532792,1283.0,116.0
40.0,RGA2,154.66666666666666,55.0,119.0,31.333333333333332,1.0693639693639694,11 Apr 2022,0.4753577106518283,0.13032886723507917,2115.0,59.0
40.0,RGA2,135.66666666666666,45.0,110.83333333333333,31.0,1.349512919166864,16 May 2022,0.5018450184501845,0.10074374577417172,2115.0,59.0
40.0,RGA2,186.85714285714286,112.57142857142857,154.0,52.0,0.46378235894666314,18 Mar 2022,0.2480916030534351,0.09639564124057,2115.0,59.0
40.0,RGA2,178.0,63.666666666666664,154.66666666666666,31.5,0.927342055060913,27 May 2022,0.47310344827586215,0.07014028056112229,2115.0,59.0
41.0,RGA3,137.0,43.0,106.33333333333333,23.666666666666668,1.1648608984741466,11 Apr 2022,0.5222222222222223,0.126027397260274,2374.0,64.5
41.0,RGA3,162.14285714285714,54.714285714285715,137.71428571428572,37.857142857142854,1.3738656866559127,16 May 2022,0.4953886693017127,0.08146736541210095,2374.0,64.5
41.0,RGA3,192.77777777777777,95.88888888888889,155.66666666666666,46.111111111111114,0.6280403415362128,18 Mar 2022,0.3356428021555043,0.10650510204081633,2374.0,64.5
41.0,RGA3,392.85714285714283,113.14285714285714,328.2857142857143,56.285714285714285,1.0826845123448656,27 May 2022,0.5527950310559006,0.08954041204437399,2374.0,64.5
42.0,S3,112.33333333333333,44.0,81.0,26.0,1.011142475663928,11 Apr 2022,0.43710021321961623,0.16206896551724137,718.0,109.5
